[2023-11-22T08:01:58.314+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ETL_Commodity.Import_Commodity_To_SQL scheduled__2023-11-22T00:00:00+00:00 [queued]>
[2023-11-22T08:01:58.377+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ETL_Commodity.Import_Commodity_To_SQL scheduled__2023-11-22T00:00:00+00:00 [queued]>
[2023-11-22T08:01:58.378+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2023-11-22T08:01:58.505+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): Import_Commodity_To_SQL> on 2023-11-22 00:00:00+00:00
[2023-11-22T08:01:58.523+0000] {standard_task_runner.py:57} INFO - Started process 2035 to run task
[2023-11-22T08:01:58.527+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'ETL_Commodity', 'Import_Commodity_To_SQL', 'scheduled__2023-11-22T00:00:00+00:00', '--job-id', '22', '--raw', '--subdir', 'DAGS_FOLDER/ETL_Commodity.py', '--cfg-path', '/tmp/tmpaflin4ps']
[2023-11-22T08:01:58.530+0000] {standard_task_runner.py:85} INFO - Job 22: Subtask Import_Commodity_To_SQL
[2023-11-22T08:01:58.778+0000] {task_command.py:416} INFO - Running <TaskInstance: ETL_Commodity.Import_Commodity_To_SQL scheduled__2023-11-22T00:00:00+00:00 [running]> on host f85e85ef96bb
[2023-11-22T08:01:59.519+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='trivominhit@gmail.com' AIRFLOW_CTX_DAG_OWNER='MinhTri' AIRFLOW_CTX_DAG_ID='ETL_Commodity' AIRFLOW_CTX_TASK_ID='Import_Commodity_To_SQL' AIRFLOW_CTX_EXECUTION_DATE='2023-11-22T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2023-11-22T00:00:00+00:00'
[2023-11-22T08:01:59.584+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-11-23 00:00:00', price = N'127.1', id = N'rubber20221123', unit = N'USD Cents/Kg', change1D = N'', change5D = N'', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'0.0 (0.0%)', changeYTD = N'0.0 (0.0%)' WHERE id = 'rubber20221123'
[2023-11-22T08:01:59.594+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-11-24 00:00:00', price = N'126.7', id = N'rubber20221124', unit = N'USD Cents/Kg', change1D = N'-0.4 (-0.32%)', change5D = N'', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'-0.4 (-0.32%)', changeYTD = N'-0.4 (-0.32%)' WHERE id = 'rubber20221124'
[2023-11-22T08:01:59.602+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-11-25 00:00:00', price = N'126.1', id = N'rubber20221125', unit = N'USD Cents/Kg', change1D = N'-0.6 (-0.48%)', change5D = N'', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'-1.0 (-0.79%)', changeYTD = N'-1.0 (-0.79%)' WHERE id = 'rubber20221125'
[2023-11-22T08:01:59.611+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-11-28 00:00:00', price = N'126.1', id = N'rubber20221128', unit = N'USD Cents/Kg', change1D = N'0.0 (0.0%)', change5D = N'', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'-1.0 (-0.79%)', changeYTD = N'-1.0 (-0.79%)' WHERE id = 'rubber20221128'
[2023-11-22T08:01:59.619+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-11-29 00:00:00', price = N'127.5', id = N'rubber20221129', unit = N'USD Cents/Kg', change1D = N'1.4 (1.1%)', change5D = N'', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'0.4 (0.31%)', changeYTD = N'0.4 (0.31%)' WHERE id = 'rubber20221129'
[2023-11-22T08:01:59.626+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-11-30 00:00:00', price = N'128.7', id = N'rubber20221130', unit = N'USD Cents/Kg', change1D = N'1.2 (0.93%)', change5D = N'1.6 (1.24%)', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'1.6 (1.24%)', changeYTD = N'1.6 (1.24%)' WHERE id = 'rubber20221130'
[2023-11-22T08:01:59.640+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-12-01 00:00:00', price = N'132.8', id = N'rubber20221201', unit = N'USD Cents/Kg', change1D = N'4.1 (3.09%)', change5D = N'6.1 (4.59%)', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'0.0 (0.0%)', changeYTD = N'5.7 (4.29%)' WHERE id = 'rubber20221201'
[2023-11-22T08:01:59.650+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-12-02 00:00:00', price = N'134.7', id = N'rubber20221202', unit = N'USD Cents/Kg', change1D = N'1.9 (1.41%)', change5D = N'8.6 (6.38%)', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'1.9 (1.41%)', changeYTD = N'7.6 (5.64%)' WHERE id = 'rubber20221202'
[2023-11-22T08:01:59.662+0000] {logging_mixin.py:154} INFO - UPDATE [macroEconomic].[dbo].[HangHoa] SET name = N'Cao su', lastUpdated = N'2022-12-05 00:00:00', price = N'136.2', id = N'rubber20221205', unit = N'USD Cents/Kg', change1D = N'1.5 (1.1%)', change5D = N'10.1 (7.42%)', change1M = N'', change3M = N'', change6M = N'', change1Y = N'', changeMTD = N'3.4 (2.5%)', changeYTD = N'9.1 (6.68%)' WHERE id = 'rubber20221205'
